customer_id,signup_date,acquisition_channel,age,city_tier
CUST00001,2023-10-23,Paid Ads,19,Tier 3
CUST00002,2023-08-26,Organic Search,47,Tier 3
CUST00003,2023-09-10,Email,42,Tier 1
CUST00004,2023-07-07,Email,34,Tier 1
CUST00005,2023-12-31,Social Media,43,Tier 3
CUST00006,2023-10-27,Organic Search,41,Tier 2
CUST00007,2024-01-11,Paid Ads,46,Tier 2
CUST00008,2023-10-22,Organic Search,34,Tier 2
CUST00009,2023-07-16,Organic Search,56,Tier 2
CUST00010,2023-09-21,Social Media,29,Tier 1
CUST00011,2023-12-26,Social Media,21,Tier 2
CUST00012,2023-09-10,Paid Ads,33,Tier 1
CUST00013,2023-11-01,Email,19,Tier 2
CUST00014,2023-10-21,Organic Search,25,Tier 3
CUST00015,2023-07-12,Social Media,19,Tier 2
CUST00016,2023-11-03,Organic Search,50,Tier 3
CUST00017,2023-08-22,Organic Search,27,Tier 2
CUST00018,2023-09-13,Paid Ads,47,Tier 2
CUST00019,2023-11-10,Email,44,Tier 2
CUST00020,2023-07-27,Email,41,Tier 3
CUST00021,2023-11-17,Organic Search,47,Tier 2
CUST00022,2023-11-22,Paid Ads,56,Tier 1
CUST00023,2023-11-11,Paid Ads,51,Tier 3
CUST00024,2023-10-05,Organic Search,25,Tier 2
CUST00025,2023-07-05,Social Media,30,Tier 1
CUST00026,2023-08-26,Organic Search,49,Tier 2
CUST00027,2023-12-03,Paid Ads,50,Tier 3
CUST00028,2023-09-16,Email,38,Tier 2
CUST00029,2023-09-07,Organic Search,35,Tier 1
CUST00030,2023-10-26,Email,54,Tier 3
CUST00031,2023-10-28,Social Media,21,Tier 2
CUST00032,2023-08-28,Organic Search,19,Tier 2
CUST00033,2023-08-02,Referral,45,Tier 1
CUST00034,2023-08-31,Email,58,Tier 1
CUST00035,2023-08-19,Organic Search,51,Tier 2
CUST00036,2023-10-20,Paid Ads,38,Tier 3
CUST00037,2023-07-19,Paid Ads,32,Tier 1
CUST00038,2024-01-13,Social Media,54,Tier 1
CUST00039,2023-10-31,Social Media,23,Tier 1
CUST00040,2024-01-10,Social Media,41,Tier 2
CUST00041,2023-08-16,Referral,33,Tier 1
CUST00042,2023-12-14,Social Media,24,Tier 1
CUST00043,2024-01-12,Email,51,Tier 1
CUST00044,2023-08-02,Paid Ads,37,Tier 2
CUST00045,2023-11-18,Paid Ads,31,Tier 1
CUST00046,2023-09-22,Organic Search,47,Tier 1
CUST00047,2023-12-29,Social Media,24,Tier 3
CUST00048,2023-11-12,Paid Ads,33,Tier 1
CUST00049,2023-09-17,Organic Search,34,Tier 1
CUST00050,2023-07-14,Organic Search,42,Tier 3
CUST00051,2023-11-24,Paid Ads,41,Tier 1
CUST00052,2023-11-05,Email,28,Tier 2
CUST00053,2023-08-23,Paid Ads,59,Tier 1
CUST00054,2023-11-25,Email,59,Tier 2
CUST00055,2023-07-29,Paid Ads,35,Tier 1
CUST00056,2023-07-24,Email,48,Tier 3
CUST00057,2023-09-20,Organic Search,28,Tier 1
CUST00058,2023-09-01,Organic Search,37,Tier 1
CUST00059,2023-10-13,Email,47,Tier 2
CUST00060,2023-08-26,Paid Ads,20,Tier 3
CUST00061,2023-11-13,Organic Search,54,Tier 1
CUST00062,2023-08-31,Paid Ads,37,Tier 3
CUST00063,2023-12-04,Organic Search,25,Tier 1
CUST00064,2023-07-17,Paid Ads,44,Tier 2
CUST00065,2023-09-04,Paid Ads,33,Tier 1
CUST00066,2023-07-06,Email,56,Tier 2
CUST00067,2023-08-27,Social Media,21,Tier 1
CUST00068,2023-09-07,Organic Search,56,Tier 1
CUST00069,2023-12-03,Referral,34,Tier 1
CUST00070,2023-08-31,Paid Ads,20,Tier 1
CUST00071,2023-12-16,Email,49,Tier 3
CUST00072,2024-01-13,Email,46,Tier 3
CUST00073,2023-09-20,Email,25,Tier 2
CUST00074,2023-12-16,Paid Ads,48,Tier 1
CUST00075,2023-12-24,Paid Ads,25,Tier 1
CUST00076,2023-12-24,Organic Search,54,Tier 2
CUST00077,2023-09-09,Organic Search,47,Tier 3
CUST00078,2023-11-08,Paid Ads,42,Tier 2
CUST00079,2023-07-10,Paid Ads,57,Tier 3
CUST00080,2023-10-06,Paid Ads,22,Tier 3
CUST00081,2023-09-27,Organic Search,47,Tier 3
CUST00082,2023-08-04,Social Media,23,Tier 1
CUST00083,2023-07-02,Social Media,47,Tier 1
CUST00084,2023-11-01,Referral,48,Tier 2
CUST00085,2023-07-24,Paid Ads,47,Tier 2
CUST00086,2023-09-12,Social Media,44,Tier 1
CUST00087,2023-12-13,Social Media,37,Tier 1
CUST00088,2023-07-22,Paid Ads,44,Tier 2
CUST00089,2023-12-01,Paid Ads,55,Tier 2
CUST00090,2023-12-18,Referral,45,Tier 1
CUST00091,2023-12-30,Paid Ads,48,Tier 2
CUST00092,2023-08-08,Paid Ads,48,Tier 2
CUST00093,2023-12-04,Organic Search,21,Tier 2
CUST00094,2023-07-20,Organic Search,25,Tier 1
CUST00095,2023-08-10,Social Media,27,Tier 2
CUST00096,2023-12-29,Email,59,Tier 2
CUST00097,2023-11-25,Paid Ads,31,Tier 1
CUST00098,2023-10-16,Organic Search,33,Tier 2
CUST00099,2023-11-24,Email,23,Tier 1
CUST00100,2023-09-22,Email,47,Tier 1
CUST00101,2023-10-19,Organic Search,53,Tier 1
CUST00102,2023-09-04,Social Media,45,Tier 1
CUST00103,2023-12-05,Organic Search,45,Tier 1
CUST00104,2023-08-22,Paid Ads,26,Tier 3
CUST00105,2023-08-03,Email,50,Tier 1
CUST00106,2023-11-27,Organic Search,38,Tier 3
CUST00107,2023-09-05,Social Media,28,Tier 2
CUST00108,2023-11-11,Social Media,31,Tier 1
CUST00109,2023-07-27,Social Media,47,Tier 1
CUST00110,2023-07-10,Organic Search,53,Tier 2
CUST00111,2023-09-11,Organic Search,26,Tier 2
CUST00112,2023-10-04,Organic Search,47,Tier 1
CUST00113,2023-08-17,Paid Ads,49,Tier 1
CUST00114,2023-09-08,Social Media,59,Tier 2
CUST00115,2024-01-03,Social Media,48,Tier 1
CUST00116,2023-10-08,Social Media,40,Tier 3
CUST00117,2023-08-28,Referral,39,Tier 2
CUST00118,2023-07-02,Social Media,30,Tier 1
CUST00119,2023-12-04,Paid Ads,29,Tier 1
CUST00120,2024-01-12,Organic Search,20,Tier 1
CUST00121,2023-09-03,Email,59,Tier 3
CUST00122,2023-09-21,Organic Search,20,Tier 1
CUST00123,2023-12-01,Organic Search,52,Tier 1
CUST00124,2023-07-10,Paid Ads,21,Tier 2
CUST00125,2023-08-22,Social Media,34,Tier 1
CUST00126,2023-09-17,Organic Search,22,Tier 2
CUST00127,2023-08-28,Social Media,41,Tier 3
CUST00128,2023-11-27,Social Media,38,Tier 2
CUST00129,2023-12-26,Paid Ads,43,Tier 3
CUST00130,2023-08-17,Organic Search,48,Tier 3
CUST00131,2023-11-26,Organic Search,36,Tier 1
CUST00132,2023-10-31,Social Media,29,Tier 1
CUST00133,2023-07-22,Social Media,47,Tier 1
CUST00134,2023-10-08,Social Media,35,Tier 2
CUST00135,2023-10-06,Email,44,Tier 1
CUST00136,2023-12-05,Organic Search,41,Tier 3
CUST00137,2023-07-25,Organic Search,38,Tier 2
CUST00138,2023-07-28,Social Media,20,Tier 1
CUST00139,2024-01-09,Organic Search,42,Tier 2
CUST00140,2023-10-21,Paid Ads,49,Tier 1
CUST00141,2023-08-14,Paid Ads,45,Tier 3
CUST00142,2023-09-06,Organic Search,20,Tier 2
CUST00143,2023-07-07,Organic Search,32,Tier 1
CUST00144,2023-08-18,Paid Ads,22,Tier 1
CUST00145,2023-11-14,Organic Search,31,Tier 3
CUST00146,2023-12-11,Organic Search,54,Tier 2
CUST00147,2023-09-21,Social Media,53,Tier 3
CUST00148,2023-11-06,Social Media,26,Tier 1
CUST00149,2023-11-15,Organic Search,20,Tier 1
CUST00150,2023-12-11,Social Media,24,Tier 1
CUST00151,2023-09-11,Paid Ads,49,Tier 2
CUST00152,2023-08-15,Paid Ads,28,Tier 1
CUST00153,2023-10-14,Social Media,39,Tier 1
CUST00154,2023-12-07,Social Media,28,Tier 2
CUST00155,2023-08-01,Social Media,41,Tier 2
CUST00156,2023-07-06,Organic Search,21,Tier 1
CUST00157,2023-12-23,Organic Search,50,Tier 2
CUST00158,2023-12-13,Social Media,38,Tier 2
CUST00159,2023-11-22,Paid Ads,28,Tier 1
CUST00160,2023-09-12,Organic Search,47,Tier 1
CUST00161,2023-10-22,Social Media,59,Tier 1
CUST00162,2023-07-27,Social Media,52,Tier 2
CUST00163,2023-08-23,Social Media,55,Tier 3
CUST00164,2023-12-25,Paid Ads,38,Tier 1
CUST00165,2023-12-10,Social Media,26,Tier 1
CUST00166,2023-09-23,Organic Search,25,Tier 3
CUST00167,2023-11-04,Organic Search,24,Tier 3
CUST00168,2023-11-30,Email,29,Tier 2
CUST00169,2023-12-03,Organic Search,36,Tier 3
CUST00170,2023-10-19,Paid Ads,47,Tier 2
