customer_id,signup_date,acquisition_channel,age,city_tier,frequency,monetary_total,aov,last_purchase,first_purchase,total_quantity,n_categories,recency_days,tenure_days,purchase_rate,account_age_days,future_ltv
CUST00001,2023-10-23,Paid Ads,19,Tier 3,2.0,815.1500000000001,407.57500000000005,2024-04-18,2024-01-08,6.0,2.0,74.0,252,0.34285714285714286,252,1824.54
CUST00002,2023-08-26,Organic Search,47,Tier 3,36.0,112070.77,3113.0769444444445,2024-06-18,2023-08-28,92.0,6.0,13.0,310,3.5064935064935066,310,158816.53
CUST00003,2023-09-10,Email,42,Tier 1,8.0,6204.39,775.54875,2024-06-14,2023-10-11,20.0,5.0,17.0,295,0.9090909090909092,295,7463.25
CUST00004,2023-07-07,Email,34,Tier 1,16.0,12399.5,774.96875,2024-05-26,2023-07-18,41.0,6.0,36.0,360,1.3753581661891117,360,16679.85
CUST00005,2023-12-31,Social Media,43,Tier 3,4.0,2070.86,517.715,2024-04-18,2024-02-23,11.0,2.0,74.0,183,0.9302325581395349,183,2744.95
CUST00006,2023-10-27,Organic Search,41,Tier 2,3.0,1595.3,531.7666666666667,2024-06-05,2023-12-30,10.0,2.0,26.0,248,0.4891304347826087,248,758.6
CUST00007,2024-01-11,Paid Ads,46,Tier 2,0.0,0.0,0.0,,,0.0,0.0,360.0,172,0.0,172,622.62
CUST00008,2023-10-22,Organic Search,34,Tier 2,17.0,22334.42,1313.7894117647058,2024-06-06,2023-10-26,38.0,6.0,25.0,253,2.0481927710843375,253,46423.99
CUST00009,2023-07-16,Organic Search,56,Tier 2,10.0,9151.86,915.186,2024-03-29,2023-08-27,30.0,6.0,94.0,351,0.9708737864077669,351,4606.98
CUST00010,2023-09-21,Social Media,29,Tier 1,17.0,17313.97,1018.4688235294118,2024-05-03,2023-10-10,42.0,6.0,59.0,284,1.9245283018867925,284,13843.66
CUST00011,2023-12-26,Social Media,21,Tier 2,1.0,426.39,426.39,2024-04-27,2024-04-27,4.0,1.0,65.0,188,0.46153846153846156,188,2521.09
CUST00012,2023-09-10,Paid Ads,33,Tier 1,55.0,187854.01,3415.527454545455,2024-06-29,2023-09-10,134.0,6.0,2.0,295,5.593220338983051,295,149768.44
CUST00013,2023-11-01,Email,19,Tier 2,20.0,34276.96,1713.848,2024-04-04,2023-11-01,48.0,6.0,88.0,243,2.4691358024691357,243,0.0
CUST00014,2023-10-21,Organic Search,25,Tier 3,4.0,2448.83,612.2075,2024-04-21,2023-11-29,13.0,2.0,71.0,254,0.5581395348837209,254,1987.12
CUST00015,2023-07-12,Social Media,19,Tier 2,3.0,1299.01,433.00333333333333,2024-06-01,2024-05-09,6.0,3.0,30.0,355,1.6981132075471699,355,3048.17
CUST00016,2023-11-03,Organic Search,50,Tier 3,3.0,1620.3200000000002,540.1066666666667,2024-02-14,2023-12-08,4.0,2.0,138.0,241,0.4368932038834952,241,633.89
CUST00017,2023-08-22,Organic Search,27,Tier 2,2.0,1370.26,685.13,2024-04-20,2024-01-21,6.0,2.0,72.0,314,0.37037037037037035,314,1431.1100000000001
CUST00018,2023-09-13,Paid Ads,47,Tier 2,11.0,10264.94,933.1763636363637,2024-06-30,2023-10-31,27.0,5.0,1.0,292,1.3524590163934427,292,10261.57
CUST00019,2023-11-10,Email,44,Tier 2,8.0,6324.91,790.61375,2024-06-21,2023-12-05,17.0,6.0,10.0,234,1.1483253588516746,234,8177.76
CUST00020,2023-07-27,Email,41,Tier 3,3.0,1232.3899999999999,410.7966666666666,2023-11-07,2023-08-12,8.0,2.0,237.0,340,0.2777777777777778,340,1924.52
CUST00021,2023-11-17,Organic Search,47,Tier 2,9.0,7275.48,808.3866666666667,2024-05-25,2023-11-25,20.0,5.0,37.0,227,1.2328767123287672,227,0.0
CUST00022,2023-11-22,Paid Ads,56,Tier 1,2.0,732.85,366.425,2024-04-21,2023-12-25,8.0,2.0,71.0,222,0.31746031746031744,222,2457.92
CUST00023,2023-11-11,Paid Ads,51,Tier 3,2.0,1329.74,664.87,2024-04-18,2023-12-03,3.0,2.0,74.0,233,0.28436018957345977,233,3661.28
CUST00024,2023-10-05,Organic Search,25,Tier 2,6.0,2530.15,421.69166666666666,2024-04-26,2023-11-16,15.0,4.0,66.0,270,0.7894736842105263,270,2834.21
CUST00025,2023-07-05,Social Media,30,Tier 1,14.0,13111.99,936.5707142857143,2024-06-17,2023-07-06,37.0,6.0,14.0,362,1.1634349030470914,362,13775.29
CUST00026,2023-08-26,Organic Search,49,Tier 2,26.0,40226.45,1547.1711538461536,2024-06-29,2023-09-07,68.0,6.0,2.0,310,2.61744966442953,310,34365.67
CUST00027,2023-12-03,Paid Ads,50,Tier 3,1.0,842.8,842.8,2024-05-16,2024-05-16,2.0,1.0,46.0,211,0.6521739130434783,211,4214.46
CUST00028,2023-09-16,Email,38,Tier 2,14.0,12091.41,863.6721428571428,2024-06-14,2023-11-03,39.0,5.0,17.0,289,1.7427385892116183,289,3290.12
CUST00029,2023-09-07,Organic Search,35,Tier 1,14.0,11906.8,850.4857142857143,2024-06-28,2023-09-14,28.0,6.0,3.0,298,1.443298969072165,298,17597.760000000002
CUST00030,2023-10-26,Email,54,Tier 3,4.0,2407.1499999999996,601.7874999999999,2024-01-27,2023-11-03,11.0,4.0,156.0,249,0.4979253112033195,249,507.22
CUST00031,2023-10-28,Social Media,21,Tier 2,7.0,7260.75,1037.25,2024-06-04,2023-12-27,15.0,4.0,27.0,247,1.122994652406417,247,4223.62
CUST00032,2023-08-28,Organic Search,19,Tier 2,3.0,1354.26,451.42,2024-04-28,2024-01-09,3.0,3.0,64.0,308,0.5172413793103449,308,2764.2200000000003
CUST00033,2023-08-02,Referral,45,Tier 1,3.0,1977.13,659.0433333333334,2024-04-09,2023-11-02,9.0,3.0,83.0,334,0.371900826446281,334,1224.38
CUST00034,2023-08-31,Email,58,Tier 1,33.0,52567.35,1592.95,2024-06-27,2023-09-10,85.0,6.0,4.0,305,3.3559322033898304,305,43099.21
CUST00035,2023-08-19,Organic Search,51,Tier 2,46.0,151386.44,3291.0095652173914,2024-06-25,2023-08-19,126.0,6.0,6.0,317,4.353312302839117,317,190270.55
CUST00036,2023-10-20,Paid Ads,38,Tier 3,17.0,27687.420000000002,1628.6717647058824,2024-06-02,2023-10-20,49.0,6.0,29.0,255,2.0,255,43099.11
CUST00037,2023-07-19,Paid Ads,32,Tier 1,3.0,1458.14,486.0466666666667,2024-04-11,2023-09-13,9.0,3.0,81.0,348,0.3082191780821918,348,666.6
CUST00038,2024-01-13,Social Media,54,Tier 1,0.0,0.0,0.0,,,0.0,0.0,360.0,170,0.0,170,1730.9099999999999
CUST00039,2023-10-31,Social Media,23,Tier 1,7.0,6409.349999999999,915.6214285714285,2024-06-25,2023-12-18,20.0,5.0,6.0,244,1.0714285714285714,244,13178.87
CUST00040,2024-01-10,Social Media,41,Tier 2,9.0,10448.07,1160.8966666666665,2024-06-27,2024-01-26,17.0,4.0,4.0,173,1.7197452229299364,173,9668.33
CUST00041,2023-08-16,Referral,33,Tier 1,2.0,985.19,492.595,2024-06-15,2024-01-18,6.0,2.0,16.0,320,0.36363636363636365,320,2129.43
CUST00042,2023-12-14,Social Media,24,Tier 1,6.0,6259.18,1043.1966666666667,2024-05-19,2024-01-14,18.0,4.0,43.0,200,1.0650887573964498,200,10368.32
CUST00043,2024-01-12,Email,51,Tier 1,1.0,646.61,646.61,2024-05-07,2024-05-07,1.0,1.0,55.0,171,0.5454545454545454,171,1675.67
CUST00044,2023-08-02,Paid Ads,37,Tier 2,17.0,29967.5,1762.7941176470588,2024-05-17,2023-08-03,39.0,6.0,45.0,334,1.5315315315315317,334,62268.36
