transaction_id,customer_id,transaction_date,category,order_value,quantity
TXN000001,CUST00001,2024-01-08,Apparel,363.67,3
TXN000002,CUST00001,2024-04-18,Books,451.48,3
TXN000003,CUST00001,2024-07-26,Home & Kitchen,503.34,1
TXN000004,CUST00001,2025-04-05,Apparel,735.23,1
TXN000005,CUST00001,2025-04-09,Sports,585.97,4
TXN000006,CUST00002,2023-09-24,Apparel,1554.03,4
TXN000007,CUST00002,2023-09-13,Sports,3093.46,2
TXN000008,CUST00002,2023-09-10,Electronics,1618.48,2
TXN000009,CUST00002,2023-09-03,Apparel,3786.16,4
TXN000010,CUST00002,2023-09-04,Home & Kitchen,3438.13,2
TXN000011,CUST00002,2023-08-28,Books,4029.35,4
TXN000012,CUST00002,2023-10-20,Sports,1807.54,4
TXN000013,CUST00002,2023-10-10,Sports,2197.17,2
TXN000014,CUST00002,2023-10-05,Electronics,1423.57,2
TXN000015,CUST00002,2023-10-02,Apparel,4429.18,4
TXN000016,CUST00002,2023-11-23,Apparel,1887.43,1
TXN000017,CUST00002,2023-11-20,Electronics,3596.83,2
TXN000018,CUST00002,2023-11-13,Sports,4211.94,3
TXN000019,CUST00002,2023-11-11,Home & Kitchen,2766.01,2
TXN000020,CUST00002,2023-12-22,Books,3998.0,2
TXN000021,CUST00002,2023-12-01,Apparel,4573.7,4
TXN000022,CUST00002,2023-11-25,Electronics,5190.85,2
TXN000023,CUST00002,2023-12-10,Electronics,5775.97,3
TXN000024,CUST00002,2024-01-02,Apparel,1585.7,2
TXN000025,CUST00002,2024-01-19,Beauty,1130.12,4
TXN000026,CUST00002,2024-01-08,Apparel,2615.62,3
TXN000027,CUST00002,2024-01-13,Books,2323.66,4
TXN000028,CUST00002,2024-02-01,Electronics,4728.13,2
TXN000029,CUST00002,2024-01-30,Apparel,2654.37,4
TXN000030,CUST00002,2024-03-06,Beauty,716.28,1
TXN000031,CUST00002,2024-02-22,Home & Kitchen,2296.42,1
TXN000032,CUST00002,2024-03-18,Electronics,3113.22,3
TXN000033,CUST00002,2024-03-13,Home & Kitchen,3759.51,2
TXN000034,CUST00002,2024-03-13,Apparel,4190.58,1
TXN000035,CUST00002,2024-04-06,Books,3404.86,2
TXN000036,CUST00002,2024-03-23,Sports,1123.82,3
TXN000037,CUST00002,2024-03-30,Electronics,3762.79,1
TXN000038,CUST00002,2024-03-25,Apparel,3641.07,2
TXN000039,CUST00002,2024-04-29,Books,2912.8,3
TXN000040,CUST00002,2024-05-01,Apparel,4192.01,1
TXN000041,CUST00002,2024-06-18,Home & Kitchen,4542.01,4
TXN000042,CUST00002,2024-07-20,Home & Kitchen,2880.19,3
TXN000043,CUST00002,2024-07-04,Apparel,1930.92,2
TXN000044,CUST00002,2024-07-02,Beauty,1722.97,1
TXN000045,CUST00002,2024-07-21,Home & Kitchen,2432.78,2
TXN000046,CUST00002,2024-07-28,Home & Kitchen,5208.29,2
TXN000047,CUST00002,2024-07-26,Beauty,3340.61,2
TXN000048,CUST00002,2024-08-03,Home & Kitchen,2996.65,2
TXN000049,CUST00002,2024-08-08,Apparel,3107.56,3
TXN000050,CUST00002,2024-08-25,Apparel,3936.12,4
TXN000051,CUST00002,2024-09-09,Electronics,3426.23,4
TXN000052,CUST00002,2024-09-15,Beauty,3676.71,4
TXN000053,CUST00002,2024-10-06,Beauty,2825.04,1
TXN000054,CUST00002,2024-10-11,Books,3635.03,1
TXN000055,CUST00002,2024-10-15,Apparel,4073.26,4
TXN000056,CUST00002,2024-09-22,Home & Kitchen,3132.63,2
TXN000057,CUST00002,2024-09-24,Beauty,3385.43,3
TXN000058,CUST00002,2024-10-31,Electronics,3679.95,4
TXN000059,CUST00002,2024-11-12,Books,1433.5,1
TXN000060,CUST00002,2024-11-04,Apparel,2247.78,3
TXN000061,CUST00002,2024-11-18,Beauty,4068.27,1
TXN000062,CUST00002,2024-12-03,Electronics,3563.19,3
TXN000063,CUST00002,2024-12-01,Electronics,2880.53,4
TXN000064,CUST00002,2024-12-05,Electronics,2367.91,3
TXN000065,CUST00002,2024-12-09,Beauty,2727.94,1
TXN000066,CUST00002,2025-01-11,Sports,4624.86,2
TXN000067,CUST00002,2025-01-08,Electronics,3004.95,2
TXN000068,CUST00002,2025-02-04,Home & Kitchen,972.25,4
TXN000069,CUST00002,2025-02-08,Home & Kitchen,4353.61,2
TXN000070,CUST00002,2025-02-13,Books,5141.32,4
TXN000071,CUST00002,2025-02-05,Apparel,3915.63,2
TXN000072,CUST00002,2025-01-17,Beauty,2406.49,2
TXN000073,CUST00002,2025-02-21,Books,2712.74,3
TXN000074,CUST00002,2025-03-10,Electronics,1544.64,1
TXN000075,CUST00002,2025-04-15,Electronics,2619.69,2
TXN000076,CUST00002,2025-04-03,Home & Kitchen,2597.17,3
TXN000077,CUST00002,2025-03-18,Home & Kitchen,2802.56,2
TXN000078,CUST00002,2025-03-19,Home & Kitchen,2051.69,1
TXN000079,CUST00002,2025-04-23,Beauty,1078.07,2
TXN000080,CUST00002,2025-05-12,Books,3020.76,2
TXN000081,CUST00002,2025-05-10,Beauty,4605.31,1
TXN000082,CUST00002,2025-05-02,Apparel,4601.71,3
TXN000083,CUST00002,2025-05-12,Sports,3971.42,3
TXN000084,CUST00002,2025-04-22,Home & Kitchen,1967.29,4
TXN000085,CUST00002,2025-04-18,Beauty,2633.18,4
TXN000086,CUST00002,2025-05-05,Apparel,1966.99,1
TXN000087,CUST00002,2025-04-30,Electronics,2767.55,4
TXN000088,CUST00002,2025-05-27,Electronics,3947.42,2
TXN000089,CUST00002,2025-05-29,Apparel,6365.53,3
TXN000090,CUST00002,2025-05-25,Sports,4723.33,1
TXN000091,CUST00002,2025-05-24,Apparel,3740.88,2
TXN000092,CUST00003,2023-10-11,Home & Kitchen,1364.57,3
TXN000093,CUST00003,2023-10-27,Apparel,592.76,4
